KIC,noise,noise_e,Pg,Pg_e,numax,numax_e,sig,sig_e,a1,a1_e,b1,b1_e,a2,a2_e,b2,b2_e,Ptot,Ptot_e,dnu,dnu_e,dnu02,dnu02_e,fm,fm_e,evoflag
9837287,41.042467,0.34999666,3096.7654,128.43178,44.725219,0.20282427,5.4758168,0.18399694,361.14912,8.2286144,11.090503,0.45430157,333.40762,6.2593635,41.876516,0.55427072,206.05726,3.7917347,4.8147719,0.0079477533,0.65708484,0.011537833,48.367447,0.0084362864,0
9838510,3.3940143,0.032120629,7139.7181,371.58578,24.282596,0.20618446,4.3001144,0.15039187,458.27021,13.927728,6.8897357,0.3459394,446.34806,12.198221,22.648469,0.39426388,277.22591,6.9064513,3.0360499,0.016627536,0.43071698,0.026144424,26.204726,0.019842152,1
9838978,15.987588,0.13554646,7178.6175,280.89414,32.95669,0.203766,5.2998123,0.14627809,435.96927,11.983715,9.6228654,0.46017851,427.2525,11.925299,31.396703,0.56801521,308.6947,6.0176583,4.1232529,0.013780642,0.70410567,0.022779619,36.094884,0.011600159,1
9839246,6.3501493,0.072014419,2526.7803,89.510803,44.138986,0.26582814,7.4207697,0.19771023,352.31811,7.8040652,12.850946,0.47629506,310.27658,8.1777435,42.310769,0.72707632,216.72709,3.9847714,4.64791,0.015132954,0.69541943,0.024501427,45.894839,0.012482013,1
9839918,4.0932276,0.054852026,2469.3219,84.699339,46.598873,0.25578302,7.3753551,0.20340948,332.24272,7.4657613,12.507874,0.49099348,320.39117,6.7678778,42.518296,0.58318424,213.587,3.5396659,4.7353359,0.01180713,0.6648618,0.018986994,46.868795,0.011802162,1
9840492,50.603607,0.43044052,5202.7272,214.0663,37.333219,0.27650006,6.9339435,0.19972643,484.32265,11.759184,11.176108,0.42455686,406.22906,12.201756,36.14172,0.70544996,300.58855,6.3124691,4.3326093,0.016357646,0.70830091,0.032276653,37.947356,0.016030657,1
9843358,9.056431,0.084077338,7473.4029,316.3605,31.417009,0.1989309,5.0586956,0.15020053,464.5749,12.338108,9.248623,0.41983387,436.54754,12.028152,30.114549,0.53045017,307.69758,6.2784213,4.088746,0.014252846,0.67737698,0.021174977,31.572832,0.012344502,1
9843486,7.8827695,0.14751034,241.79948,6.9225201,91.759542,0.52030774,15.400053,0.40712951,194.94401,2.9170697,24.871524,0.67316037,162.21952,3.255008,85.773837,1.2172323,96.591012,1.7071408,7.4548092,0.011479024,0.82706074,0.011034657,97.389545,0.0098792255,2
9843513,33.460396,0.28902849,1358.9842,50.026819,51.750117,0.27752684,7.7084473,0.22984601,266.80089,5.6831052,14.347848,0.53131873,256.43374,5.3336063,49.152112,0.70738957,161.98095,2.9450366,5.0450437,0.010694953,0.73816911,0.017409563,55.317489,0.011512204,2
9843754,63.621437,0.51526526,9333.9156,429.18043,30.324417,0.22947192,5.0496693,0.16903131,506.38239,16.28343,9.0756307,0.5006349,493.10749,15.99152,28.124694,0.58400167,343.5308,7.6676897,4.1986253,0.02311735,0.71524859,0.01424801,33.305092,0.048677618,1
9843910,42.549172,0.34928116,2112.3137,74.119519,50.390193,0.19441681,6.1031576,0.16780167,289.90663,5.5866225,14.223634,0.46304958,249.89227,5.3406337,49.00451,0.74444126,179.69753,2.8913736,5.1384892,0.0070471782,0.685284,0.010001665,51.764042,0.006366095,0
9844865,61.23833,0.50109567,1502.7081,50.879747,53.393143,0.30167876,8.6040414,0.26697721,292.29008,5.9449962,15.355687,0.51328743,261.92322,6.2391827,50.846408,0.81187372,179.95995,3.2596735,5.037222,0.011398196,0.65145244,0.015338126,54.682805,0.0099726131,2
9845795,23.79147,0.20024543,2326.7661,87.691112,43.725937,0.22069531,6.3553486,0.1751701,317.95044,6.8974587,12.962171,0.46276295,285.00574,6.7088141,42.709426,0.67792435,192.4537,3.4980966,4.665653,0.014364324,0.7333997,0.023873043,46.361408,0.012918727,1
9846098,19.84249,0.17713209,1482.9562,53.444922,49.069252,0.20393863,6.5183296,0.17016955,257.13087,5.0314259,14.581233,0.47745756,225.62416,4.8349178,49.286423,0.74176615,155.60495,2.6094475,4.8915938,0.011985612,0.63446544,0.016875543,53.755672,0.01152194,0
9846355,2.4138931,0.0328064,9158.2036,346.16333,32.016066,0.18028689,5.3506363,0.13272696,506.68474,12.595847,9.0240286,0.37302264,438.21636,11.818925,30.058346,0.51533391,350.3447,6.0283493,3.939112,0.011889053,0.60611828,0.017244397,34.555977,0.012328282,1
9846810,46.772335,0.35901703,3004.3952,119.06368,39.12911,0.26094091,6.5271825,0.19133106,374.52242,8.701071,11.345727,0.43430846,329.64813,8.7444332,37.337435,0.65683945,221.62355,4.5886188,4.251172,0.010866636,0.62039548,0.017652691,41.740099,0.011724439,1
